Neighborhood,Sector,Population.2010,Total_Adult_Residents_Employed.2010,Resident_Jobs:Construction,Resident_Jobs:Manufacturing,Resident_Jobs:Retail_Trade,"Resident_Jobs:Transportation,warehousing,utilities",Resident_Jobs:Information,"Resident_Jobs:Finance,insurance,real_estate","Resident_Jobs:Prof,scientific,admin,waste_mgmt","Resident_Jobs:Educ,health,social_services","Resident_Jobs:Arts,Ent,recreation,accommodation,food_services",Resident_Jobs:Public_admin,Resident_Jobs:Other,Total_Jobs_Located_in_Neighborhood.2000,Jobs_in_Hood:Construction,Jobs_in_Hood:Manufacturing,Jobs_in_Hood:Retail_trade,"Jobs_in_Hood:Transport,warehousing,utilities",Jobs_in_Hood:Information,"Jobs_in_Hood:Finance,insurance,real_estate","Jobs_in_Hood:Prof,scientific,admin,waste_mgmt","Jobs_in_Hood:Educ,health,social_services","Jobs_in_Hood:Arts,Ent,recreation,accommodation,food_services",Jobs_in_Hood:Public_admin,Jobs_in_Hood:Other
East Carnegie,4,570,109,19.30%,21.10%,0.00%,0.00%,0.00%,0.00%,11.90%,37.60%,0.00%,0.00%,10.10%,554,7.20%,45.10%,7.20%,1.80%,10.80%,9.00%,4.50%,2.70%,3.60%,0.00%,7.90%
East Hills,11,"3,169",823,3.30%,4.10%,9.40%,4.60%,1.70%,10.60%,8.50%,30.50%,10.90%,7.50%,8.90%,288,0.00%,6.90%,5.20%,0.00%,0.00%,10.40%,15.60%,41.70%,1.40%,10.40%,8.30%
East Liberty,12,"5,869","2,400",0.50%,8.50%,9.00%,3.30%,1.80%,12.70%,6.50%,40.60%,7.60%,2.20%,7.40%,"5,553",1.60%,5.10%,10.70%,4.40%,3.10%,7.40%,15.80%,21.80%,10.10%,8.10%,11.90%
Elliott,4,"2,381",958,4.10%,17.00%,2.20%,4.50%,0.00%,10.60%,15.60%,19.10%,9.90%,4.20%,12.80%,924,7.60%,0.00%,7.00%,1.10%,65.50%,0.40%,1.60%,7.60%,0.00%,6.00%,3.20%
Esplen,4,301,80,0.00%,0.00%,22.50%,0.00%,0.00%,0.00%,12.50%,37.50%,15.00%,0.00%,12.50%,129,7.80%,15.50%,15.50%,0.00%,0.00%,0.00%,0.00%,11.60%,0.00%,15.50%,34.10%
Fairywood,4,"1,002",117,11.10%,0.00%,0.00%,0.00%,23.90%,0.00%,24.80%,27.40%,6.80%,0.00%,6.00%,"1,249",2.00%,1.20%,17.60%,30.00%,0.00%,1.20%,0.30%,2.00%,0.80%,0.00%,44.80%
Fineview,3,"1,285",547,1.80%,2.40%,14.80%,5.70%,3.30%,6.20%,8.40%,37.30%,4.80%,2.40%,13.00%,262,0.00%,7.60%,3.80%,0.00%,84.00%,0.00%,1.50%,1.50%,0.00%,0.00%,1.50%
Friendship,12,"1,785",936,3.40%,4.90%,13.80%,0.70%,2.60%,4.90%,3.80%,38.90%,14.50%,4.00%,8.40%,464,5.40%,0.00%,10.80%,2.20%,4.30%,18.30%,10.80%,29.10%,4.30%,0.00%,14.90%
Garfield,12,"3,675","1,489",5.20%,5.40%,9.40%,5.30%,0.00%,8.80%,5.00%,35.80%,8.00%,8.00%,9.10%,600,7.50%,3.30%,8.30%,0.70%,0.70%,10.00%,0.00%,30.00%,11.70%,8.80%,19.00%
Glen Hazel,9,716,89,0.00%,0.00%,0.00%,27.00%,0.00%,25.80%,38.20%,9.00%,0.00%,0.00%,0.00%,370,9.50%,0.00%,0.00%,0.00%,0.00%,6.80%,0.00%,75.70%,0.00%,8.10%,0.00%
Greenfield,9,"7,294","4,407",5.20%,3.90%,7.80%,5.50%,2.50%,4.90%,16.10%,31.10%,6.50%,5.00%,11.60%,795,10.10%,2.50%,11.90%,3.80%,4.40%,6.90%,10.70%,17.00%,10.10%,7.50%,15.10%
Hays,8,362,176,10.20%,13.60%,17.00%,8.50%,0.00%,6.80%,12.50%,0.00%,25.60%,0.00%,5.70%,384,14.30%,41.70%,5.20%,0.00%,1.00%,6.50%,22.10%,0.00%,0.00%,0.00%,9.10%
Hazelwood,9,"4,317","1,804",6.50%,3.30%,15.30%,6.10%,1.40%,10.00%,11.20%,20.00%,16.50%,3.90%,5.80%,"1,219",8.60%,15.60%,4.50%,11.10%,1.60%,0.80%,1.60%,14.80%,3.30%,27.90%,10.20%
Highland Park,12,"6,395","3,874",0.70%,3.20%,9.20%,0.00%,2.10%,9.00%,10.90%,46.90%,6.80%,2.90%,8.20%,447,0.90%,2.20%,5.60%,0.90%,0.00%,3.10%,24.60%,19.00%,15.70%,15.70%,12.30%
Homewood North,11,"3,280","1,200",0.00%,10.20%,20.30%,5.40%,5.70%,7.30%,1.40%,33.30%,9.80%,2.90%,3.80%,"2,820",3.50%,0.00%,0.70%,1.20%,0.50%,1.40%,0.70%,81.60%,0.70%,6.70%,2.80%
Homewood South,11,"2,344",648,1.40%,4.20%,16.00%,8.30%,0.00%,9.00%,1.90%,43.50%,3.90%,2.30%,9.60%,689,0.60%,7.80%,0.60%,4.40%,4.40%,11.60%,4.40%,37.60%,12.30%,10.70%,5.70%
Homewood West,11,818,285,0.00%,5.30%,11.90%,0.00%,0.00%,8.80%,0.00%,46.30%,5.30%,4.60%,17.90%,379,23.70%,0.00%,4.00%,2.60%,5.30%,0.00%,33.00%,6.60%,11.90%,0.00%,12.90%
Knoxville,6,"3,747","1,536",2.00%,8.70%,8.70%,2.10%,4.60%,6.50%,10.40%,32.30%,10.40%,5.80%,8.40%,534,4.70%,0.00%,18.70%,0.00%,0.00%,2.80%,7.50%,35.60%,18.70%,0.70%,11.20%
Larimer,12,"1,728",478,5.40%,0.00%,14.00%,6.10%,1.50%,6.70%,7.10%,34.70%,13.80%,6.90%,3.80%,"2,644",5.70%,17.80%,4.50%,5.90%,17.20%,1.50%,14.60%,15.30%,0.40%,0.20%,17.00%
